Date,Stock,Direction,Predicted,Confidence
2024-09-30,ASIANPAINT,-1,1,0.5315143905627648
2024-10-01,ASIANPAINT,-1,1,0.5191962136199498
2024-10-03,ASIANPAINT,-1,1,0.5315143905627648
2024-10-04,ASIANPAINT,-1,1,0.5191962136199498
2024-10-07,ASIANPAINT,1,1,0.5191962136199498
2024-10-08,ASIANPAINT,-1,1,0.5074771082473367
2024-10-09,ASIANPAINT,-1,1,0.5074771082473367
2024-10-10,ASIANPAINT,-1,1,0.5191962136199498
2024-10-11,ASIANPAINT,1,1,0.5191962136199498
2024-10-14,ASIANPAINT,1,1,0.5315143905627648
2024-10-15,ASIANPAINT,1,1,0.5191962136199498
2024-10-16,ASIANPAINT,-1,1,0.5191962136199498
2024-10-17,ASIANPAINT,-1,1,0.5191962136199498
2024-10-18,ASIANPAINT,1,1,0.5191962136199498
2024-10-21,ASIANPAINT,-1,1,0.5229673820157562
2024-10-22,ASIANPAINT,-1,1,0.5199141110379569
2024-10-23,ASIANPAINT,-1,1,0.5315143905627648
2024-10-24,ASIANPAINT,-1,1,0.5191962136199498
2024-10-25,ASIANPAINT,1,1,0.5229673820157562
2024-10-28,ASIANPAINT,-1,1,0.5191962136199498
2024-10-29,ASIANPAINT,1,1,0.5191962136199498
2024-10-30,ASIANPAINT,-1,1,0.5191962136199498
2024-10-31,ASIANPAINT,1,1,0.5199141110379569
2024-11-01,ASIANPAINT,-1,1,0.5315143905627648
2024-11-04,ASIANPAINT,-1,1,0.5199141110379569
2024-11-05,ASIANPAINT,1,1,0.5191962136199498
2024-11-06,ASIANPAINT,-1,1,0.5191962136199498
2024-11-07,ASIANPAINT,-1,1,0.5229673820157562
2024-11-08,ASIANPAINT,-1,1,0.676527776178988
2024-11-11,ASIANPAINT,-1,1,0.5315143905627648
2024-11-12,ASIANPAINT,-1,1,0.5074771082473367
2024-11-13,ASIANPAINT,1,1,0.5074771082473367
2024-11-14,ASIANPAINT,1,1,0.5315143905627648
2024-11-18,ASIANPAINT,1,1,0.5229673820157562
2024-11-19,ASIANPAINT,-1,1,0.5315143905627648
2024-11-21,ASIANPAINT,1,1,0.5315143905627648
2024-11-22,ASIANPAINT,-1,1,0.5229673820157562
2024-11-25,ASIANPAINT,1,1,0.5315143905627648
2024-11-26,ASIANPAINT,-1,1,0.5229673820157562
2024-11-27,ASIANPAINT,-1,1,0.5229673820157562
2024-11-28,ASIANPAINT,1,1,0.5074771082473367
2024-11-29,ASIANPAINT,-1,1,0.5315143905627648
2024-12-02,ASIANPAINT,-1,1,0.5229673820157562
2024-12-03,ASIANPAINT,-1,1,0.5229673820157562
2024-12-04,ASIANPAINT,-1,1,0.5229673820157562
2024-12-05,ASIANPAINT,-1,1,0.5229673820157562
2024-12-06,ASIANPAINT,-1,1,0.5315143905627648
2024-12-09,ASIANPAINT,-1,1,0.5229673820157562
2024-12-10,ASIANPAINT,1,1,0.5074771082473367
2024-12-11,ASIANPAINT,-1,1,0.5199141110379569
2024-12-12,ASIANPAINT,1,1,0.5229673820157562
2024-12-13,ASIANPAINT,-1,1,0.5191962136199498
2024-12-16,ASIANPAINT,-1,1,0.5229673820157562
2024-12-17,ASIANPAINT,-1,1,0.5199141110379569
2024-12-18,ASIANPAINT,-1,1,0.5074771082473367
2024-12-19,ASIANPAINT,-1,1,0.5315143905627648
2024-12-20,ASIANPAINT,-1,1,0.5199141110379569
2024-12-23,ASIANPAINT,1,1,0.5315143905627648
2024-12-24,ASIANPAINT,-1,1,0.5315143905627648
2024-12-26,ASIANPAINT,1,1,0.5625178992884632
2024-12-27,ASIANPAINT,1,1,0.5315143905627648
2024-12-30,ASIANPAINT,-1,1,0.5229673820157562
2024-12-31,ASIANPAINT,1,1,0.5229673820157562
2025-01-01,ASIANPAINT,1,1,0.5315143905627648
2025-01-02,ASIANPAINT,-1,1,0.5229673820157562
2025-01-03,ASIANPAINT,-1,1,0.5199141110379569
