Date,Stock,label,Predicted,prob_down,prob_flat,prob_up,Confidence
2025-01-01,ASIANPAINT,0,0,0.22521153,0.4496941,0.32509434,0.4496941
2025-01-02,ASIANPAINT,0,0,0.26394492,0.45672357,0.27933148,0.45672357
2025-01-03,ASIANPAINT,0,0,0.26709202,0.4629794,0.2699286,0.4629794
2025-01-06,ASIANPAINT,0,0,0.32598376,0.34119964,0.3328166,0.34119964
2025-01-07,ASIANPAINT,-1,1,0.21694249,0.34878102,0.43427643,0.43427643
2025-01-08,ASIANPAINT,-1,0,0.28608933,0.3638697,0.35004103,0.3638697
2025-01-09,ASIANPAINT,-1,1,0.26210377,0.36222193,0.37567434,0.37567434
2025-01-10,ASIANPAINT,-1,0,0.31478614,0.36431405,0.32089984,0.36431405
2025-01-13,ASIANPAINT,0,0,0.27943316,0.3782713,0.34229556,0.3782713
2025-01-14,ASIANPAINT,0,0,0.27953422,0.405192,0.31527376,0.405192
2025-01-15,ASIANPAINT,0,0,0.28759006,0.45180747,0.2606025,0.45180747
2025-01-16,ASIANPAINT,1,0,0.23034605,0.43164128,0.3380127,0.43164128
2025-01-17,ASIANPAINT,0,1,0.23178735,0.3809511,0.38726154,0.38726154
2025-01-20,ASIANPAINT,0,0,0.2832301,0.3677494,0.3490205,0.3677494
2025-01-21,ASIANPAINT,0,0,0.27006546,0.37585855,0.35407594,0.37585855
2025-01-22,ASIANPAINT,0,0,0.2270077,0.39060584,0.38238648,0.39060584
2025-01-23,ASIANPAINT,0,0,0.26002085,0.38906512,0.35091403,0.38906512
2025-01-24,ASIANPAINT,0,0,0.23646718,0.38916132,0.37437153,0.38916132
2025-01-27,ASIANPAINT,1,0,0.27563697,0.36598027,0.35838276,0.36598027
2025-01-28,ASIANPAINT,1,0,0.3164296,0.36572668,0.3178437,0.36572668
2025-01-29,ASIANPAINT,1,0,0.2694183,0.3748113,0.3557704,0.3748113
2025-01-30,ASIANPAINT,0,0,0.27281526,0.3709429,0.35624182,0.3709429
2025-01-31,ASIANPAINT,0,1,0.28082037,0.35310635,0.36607328,0.36607328
2025-02-01,ASIANPAINT,-1,0,0.2804487,0.38716885,0.33238238,0.38716885
2025-02-03,ASIANPAINT,0,1,0.2859865,0.32003692,0.39397657,0.39397657
2025-02-04,ASIANPAINT,-1,1,0.31470674,0.30269048,0.3826028,0.3826028
2025-02-05,ASIANPAINT,-1,-1,0.34907356,0.33736092,0.31356552,0.34907356
2025-02-06,ASIANPAINT,0,-1,0.3634072,0.28889507,0.3476978,0.3634072
2025-02-07,ASIANPAINT,0,1,0.34970778,0.28492573,0.36536646,0.36536646
2025-02-10,ASIANPAINT,0,0,0.3257682,0.3461995,0.32803226,0.3461995
2025-02-11,ASIANPAINT,0,-1,0.41335303,0.27937058,0.30727643,0.41335303
2025-02-12,ASIANPAINT,0,1,0.2847954,0.30410638,0.4110982,0.4110982
2025-02-13,ASIANPAINT,0,0,0.31210634,0.35863695,0.3292567,0.35863695
2025-02-14,ASIANPAINT,0,0,0.2986509,0.37110966,0.33023944,0.37110966
2025-02-17,ASIANPAINT,0,0,0.30051625,0.3523865,0.34709722,0.3523865
2025-02-18,ASIANPAINT,0,0,0.26445827,0.3933688,0.34217292,0.3933688
2025-02-19,ASIANPAINT,0,0,0.26608485,0.39365393,0.34026122,0.39365393
2025-02-20,ASIANPAINT,-1,0,0.27900746,0.36601466,0.3549779,0.36601466
2025-02-21,ASIANPAINT,-1,0,0.26590198,0.37997618,0.35412183,0.37997618
2025-02-24,ASIANPAINT,-1,0,0.26253465,0.4010519,0.3364134,0.4010519
2025-02-25,ASIANPAINT,-1,0,0.32596272,0.34683236,0.32720488,0.34683236
2025-02-27,ASIANPAINT,1,0,0.27682018,0.4028239,0.32035592,0.4028239
2025-02-28,ASIANPAINT,1,0,0.24856155,0.4045219,0.34691653,0.4045219
2025-03-03,ASIANPAINT,1,0,0.26515236,0.41177946,0.32306814,0.41177946
2025-03-04,ASIANPAINT,1,0,0.26344228,0.44598404,0.29057372,0.44598404
2025-03-05,ASIANPAINT,1,0,0.26022246,0.45071334,0.28906423,0.45071334
2025-03-06,ASIANPAINT,0,1,0.31045404,0.33762118,0.35192475,0.35192475
2025-03-07,ASIANPAINT,-1,1,0.27785522,0.35077244,0.37137237,0.37137237
2025-03-10,ASIANPAINT,-1,1,0.2774588,0.35485846,0.36768273,0.36768273
2025-03-11,ASIANPAINT,0,1,0.25360048,0.36972836,0.37667114,0.37667114
2025-03-12,ASIANPAINT,0,1,0.26854527,0.3512128,0.380242,0.380242
2025-03-13,ASIANPAINT,1,0,0.29990807,0.37289348,0.32719848,0.37289348
2025-03-17,ASIANPAINT,1,0,0.29762253,0.37987548,0.32250196,0.37987548
2025-03-18,ASIANPAINT,1,0,0.25448307,0.40936038,0.3361566,0.40936038
2025-03-19,ASIANPAINT,0,0,0.25678116,0.40953612,0.33368272,0.40953612
2025-03-20,ASIANPAINT,1,0,0.2858388,0.3754362,0.338725,0.3754362
2025-03-21,ASIANPAINT,0,0,0.23280315,0.38741818,0.37977865,0.38741818
2025-03-24,ASIANPAINT,0,0,0.18554235,0.40884313,0.40561453,0.40884313
2025-03-25,ASIANPAINT,0,0,0.23190081,0.4041682,0.363931,0.4041682
2025-03-26,ASIANPAINT,0,0,0.21853833,0.39494315,0.38651854,0.39494315
2025-03-27,ASIANPAINT,0,0,0.3010636,0.3647547,0.33418167,0.3647547
2025-03-28,ASIANPAINT,0,0,0.26916322,0.40307793,0.32775888,0.40307793
2025-04-01,ASIANPAINT,1,0,0.27044776,0.3854629,0.34408933,0.3854629
2025-04-02,ASIANPAINT,1,0,0.29567382,0.38574556,0.31858063,0.38574556
2025-04-03,ASIANPAINT,0,0,0.3173196,0.41132262,0.27135777,0.41132262
2025-04-04,ASIANPAINT,1,0,0.3093879,0.3543759,0.33623624,0.3543759
2025-04-07,ASIANPAINT,1,1,0.3075459,0.3067657,0.38568836,0.38568836
2025-04-08,ASIANPAINT,1,1,0.32943428,0.24291243,0.42765328,0.42765328
2025-04-09,ASIANPAINT,0,0,0.32489753,0.36580348,0.309299,0.36580348
2025-04-11,ASIANPAINT,0,-1,0.35062578,0.3269205,0.32245368,0.35062578
2025-04-15,ASIANPAINT,0,0,0.3544069,0.35561407,0.28997904,0.35561407
2025-04-16,ASIANPAINT,0,1,0.33643225,0.31817922,0.3453885,0.3453885
2025-04-17,ASIANPAINT,0,1,0.22681813,0.37280795,0.40037397,0.40037397
2025-04-21,ASIANPAINT,0,0,0.24675794,0.40130758,0.35193452,0.40130758
2025-04-22,ASIANPAINT,0,0,0.24482177,0.41460276,0.34057552,0.41460276
2025-04-23,ASIANPAINT,0,0,0.23801212,0.4118044,0.35018346,0.4118044
2025-04-24,ASIANPAINT,-1,0,0.25940716,0.39091447,0.34967834,0.39091447
2025-04-25,ASIANPAINT,0,1,0.273967,0.34616417,0.37986884,0.37986884
2025-04-28,ASIANPAINT,0,1,0.32346997,0.32869482,0.34783524,0.34783524
2025-04-29,ASIANPAINT,-1,0,0.31928834,0.36663726,0.31407443,0.36663726
2025-04-30,ASIANPAINT,-1,0,0.30744722,0.34720254,0.34535027,0.34720254
2025-05-02,ASIANPAINT,-1,0,0.30433464,0.3829278,0.31273752,0.3829278
2025-05-05,ASIANPAINT,-1,0,0.3250752,0.3624803,0.31244448,0.3624803
2025-05-06,ASIANPAINT,-1,-1,0.34947607,0.33331802,0.31720597,0.34947607
2025-05-07,ASIANPAINT,-1,0,0.31782532,0.3578991,0.3242756,0.3578991
2025-05-08,ASIANPAINT,0,0,0.29081392,0.36809903,0.34108704,0.36809903
2025-05-09,ASIANPAINT,1,-1,0.3836266,0.32691556,0.2894578,0.3836266
2025-05-12,ASIANPAINT,0,-1,0.37072217,0.32033363,0.3089442,0.37072217
2025-05-13,ASIANPAINT,0,-1,0.36803776,0.3649421,0.26702017,0.36803776
2025-05-14,ASIANPAINT,0,1,0.2788426,0.3431278,0.37802958,0.37802958
2025-05-15,ASIANPAINT,0,0,0.33945903,0.34725147,0.3132895,0.34725147
2025-05-16,ASIANPAINT,0,0,0.29689783,0.38781187,0.3152903,0.38781187
2025-05-19,ASIANPAINT,0,0,0.25173417,0.4033851,0.3448807,0.4033851
2025-05-20,ASIANPAINT,0,0,0.3012769,0.35747,0.3412531,0.35747
2025-05-21,ASIANPAINT,0,0,0.3080081,0.410066,0.28192592,0.410066
2025-05-22,ASIANPAINT,0,0,0.30918986,0.3927718,0.2980384,0.3927718
2025-05-23,ASIANPAINT,-1,-1,0.3747784,0.34314892,0.28207263,0.3747784
2025-05-26,ASIANPAINT,-1,0,0.3175204,0.3710578,0.31142175,0.3710578
2025-05-27,ASIANPAINT,-1,1,0.31213266,0.3352108,0.35265654,0.35265654
2025-05-28,ASIANPAINT,-1,-1,0.33872852,0.32529125,0.33598027,0.33872852
